total_customers,approved_customers,declined_customers,manual_review_customers,approval_rate,decline_rate,manual_review_rate,total_expected_value,approved_expected_value,average_expected_value_all,average_expected_value_approved,average_adjusted_p_default_approved,average_p_accept_approved,strategy,max_p_default,min_p_accept,min_expected_value,risk_cap
10000,56,9944,0,0.0056,0.9944,0.0,340138.84,7920.0,34.0139,141.4286,0.1123,0.2806,conservative,0.25,0.25,20,
10000,240,9751,9,0.024,0.9751,0.0009,340138.84,34428.08,34.0139,143.4503,0.1393,0.236,balanced,0.3,0.2,0,
10000,5094,3812,1094,0.5094,0.3812,0.1094,340138.84,293556.82,34.0139,57.628,0.2338,0.1384,aggressive,0.4,0.1,-10,
10000,2387,6519,1094,0.2387,0.6519,0.1094,340138.84,239253.44,34.0139,100.2319,0.1594,0.143,aggressive_with_risk_cap,0.4,0.1,-10,0.22
